id,Season,city,team1,team2,toss_winner,toss_decision,winner,win_by_runs,player_of_match,venue,umpire
168,IPL-2009,Durban,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,LR Shukla,Kingsmead,BG Jerling
169,IPL-2009,Durban,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,24,M Muralitharan,Kingsmead,BG Jerling
170,IPL-2009,Centurion,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,V Sehwag,SuperSport Park,IL Howell
171,IPL-2009,Centurion,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,12,MK Pandey,SuperSport Park,IL Howell
172,IPL-2009,Centurion,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,0,AC Gilchrist,SuperSport Park,BR Doctrove
173,IPL-2009,Johannesburg,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,MK Pandey,New Wanderers Stadium,RE Koertzen
174,IPL-2009,Johannesburg,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers,6,A Kumble,New Wanderers Stadium,RE Koertzen
175,IPL-2010,Mumbai,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,Kolkata Knight Riders,11,AD Mathews,Dr DY Patil Sports Academy,RE Koertzen
176,IPL-2010,Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,4,YK Pathan,Brabourne Stadium,RE Koertzen
177,IPL-2010,Chandigarh,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,G Gambhir,"Punjab Cricket Association Stadium, Mohali",BR Doctrove
178,IPL-2010,Kolkata,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,MK Tiwary,Eden Gardens,HDPK Dharmasena
179,IPL-2010,Chennai,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,Deccan Chargers,31,WPUJC Vaas,"MA Chidambaram Stadium, Chepauk",K Hariharan
180,IPL-2010,Ahmedabad,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,V Sehwag,"Sardar Patel Stadium, Motera",BG Jerling
181,IPL-2010,Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Royal Challengers Bangalore,0,JH Kallis,M Chinnaswamy Stadium,S Das
182,IPL-2010,Kolkata,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,55,MS Dhoni,Eden Gardens,HDPK Dharmasena
183,IPL-2010,Delhi,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,98,SR Tendulkar,Feroz Shah Kotla,BR Doctrove
184,IPL-2010,Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,JH Kallis,M Chinnaswamy Stadium,K Hariharan
185,IPL-2010,Delhi,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,Chennai Super Kings,0,ML Hayden,Feroz Shah Kotla,BR Doctrove
186,IPL-2010,Cuttack,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Deccan Chargers,6,A Symonds,Barabati Stadium,BF Bowden
187,IPL-2010,Ahmedabad,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,34,AA Jhunjhunwala,"Sardar Patel Stadium, Motera",RE Koertzen
188,IPL-2010,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,0,JH Kallis,Brabourne Stadium,HDPK Dharmasena
189,IPL-2010,Cuttack,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Deccan Chargers,10,A Symonds,Barabati Stadium,BF Bowden
190,IPL-2010,Chennai,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Kings XI Punjab,0,J Theron,"MA Chidambaram Stadium, Chepauk",K Hariharan
191,IPL-2010,Mumbai,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,0,SR Tendulkar,Brabourne Stadium,SS Hazare
192,IPL-2010,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,36,RV Uthappa,M Chinnaswamy Stadium,RE Koertzen
193,IPL-2010,Chandigarh,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals,31,AC Voges,"Punjab Cricket Association Stadium, Mohali",BR Doctrove
194,IPL-2010,Mumbai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,SR Tendulkar,Brabourne Stadium,BF Bowden
195,IPL-2010,Ahmedabad,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Rajasthan Royals,0,YK Pathan,"Sardar Patel Stadium, Motera",HDPK Dharmasena
196,IPL-2010,Chandigarh,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kolkata Knight Riders,39,MK Tiwary,"Punjab Cricket Association Stadium, Mohali",BR Doctrove
197,IPL-2010,Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils,17,KM Jadhav,M Chinnaswamy Stadium,BG Jerling
198,IPL-2010,Ahmedabad,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,17,NV Ojha,"Sardar Patel Stadium, Motera",SS Hazare
199,IPL-2010,Mumbai,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Mumbai Indians,41,Harbhajan Singh,Dr DY Patil Sports Academy,S Das
200,IPL-2010,Delhi,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Delhi Daredevils,40,DA Warner,Feroz Shah Kotla,SS Hazare
